Camera, Format, Category, Lens, Battery, ISO Meter, Max Shutter,
Agfa Optima Sensor 535, , , , , ,
Agfa Optima Sensor 1035, , , , , ,
Agfa Optima Sensor 1535, , , , , ,
Fujifilm Klasse S, 35mm, Point and Shoot, 38mm f:2.8 Fujinon, CR2, 25-3200, 1/500,
Hasselblad Xpan, 35mm Panorama, Rangefinder, M mount, CR2,  25-3200, 1/1000,
Konica Hexar AF, 35mm, Point and Shoot, 35mm f:2 Hexar, 2CR5, 6-6400, 1/250,
Konica Hexar RF, 35mm, Rangefinder, M mount, 2x CR2, 25-3200, 1/4000,
Leica M-A, 35mm, Rangefinder, M mount, None, No Meter, 1/1000,
Leica M6, 35mm, Rangefinder, M mount, 2L76, 6-6400, 1/1000,
Leica M-D, Digital full frame, Rangefinder, M mount, BP-SCL2, 200-6400, 1/4000,
Leica M10-D, Digital full frame, Rangefinder, M mount, BP-SCL5, 100-25600, 1/4000,
Leica TL2, APS-C 24Mp, Mirrorless, L mount, BP-DC13, 100-50.000, 1/40000 (e),
Nikon 35Ti, 35mm, Point and Shoot, 35mm f:2.8 Nikkor, CR123A, 25-5000, 1/500,
Olympus 35 RC, 35mm, , , , , ,
Olympus 35 RD, 35mm, , , , , ,
Panasonic GF1, M43 12Mp, Mirrorless, M43, BLB13, 100-3200, 1/4000,
Pentax K1000, 35mm, , , , , ,
Pentax LX, 35mm, , , , , ,
Plaubel Makina 67, 120, Rangefinder, 80mm f:2.8 Nikkor, 2x SR44, 25-1600, 1/500,
Rollei 35s, 35mm, Zone Focus, 40mm f:2.8 Sonnar, PX625, 25-1600, 1/500,
Rolleicord, 120, TLR, , N/A, N/A, 1/500,
