Make, Focal Length, Max Aperture, Name, Mount, Type
Leica, 28mm, f/2.0, Summicron-m ASPH, Leica M, Rangefinder
Leica, 35mm, f/1.4, Summilux-m ASPH FLE, Leica M, Rangefinder
Leica, 35mm, f/2.4, Summarit-m ASPH, Leica M, Rangefinder
Leica, 50mm, f/1.4, Summilux-m ASPH, Leica M, Rangefinder
MS-Optics, 17mm, f/4.5, Perar-R MC Ultra Wide, Leica M, Rangefinder
MS-Optics, 24mm, f/4.0, Perar Super Wide, Leica M, Rangefinder
MS-Optics, 28mm, f/2.0, Apoqualia-G MK II, Leica M, Rangefinder
MS-Optics, 28mm, f/2.0, Apoqualia-G MK III, Leica M, Rangefinder
MS-Optics, 35mm, f/1.4, Reiroal 000, Leica M, Rangefinder
MS-Optics, 35mm, f/3.5, Perar Super Triplet MK II, Leica M, Rangefinder
MS-Optics, 40mm, f/6.3, H-Dagonar MC Macro, Leica M, Rangefinder
MS-Optics, 40mm, f/6.3, H-Prot MC Macro, Leica M, Rangefinder
MS-Optics, 50mm, f/1.0, ISM, Leica M, Rangefinder 
MS-Optics, 50mm, f/1.1, Sonnetar, Leica M, Rangefinder
MS-Optics, 50mm, f/1.5, Vario Prasma, Leica M, Rangefinder
MS-Optics, 50mm, f/3.5, Apoqualia, Leica M, Rangefinder
MS-Optics, 57mm, f/2.0, H-Petz, Leica M, Rangefinder
MS-Optics, 73mm, f/1.5, Sonnetar, Leica M, Rangefinder
TTArtisan, 75mm, f/1.25, Photoelectric, Leica M, Rangefinder
Voigtlander, 25mm, f/4.0, Color Skopar, LTM, Rangefinder
Voigtlander, 35mm, f/2.5, Color Skopar, LTM, Rangefinder
Voigtlander, 40mm, f/1.4, Nokton, Leica M, Rangefinder
